etiqueta	texto
ninguno	EXCELENTE PROFESORA, BUEN DOMINIO DEL CONTENIDO, CLASES DIDACTICAS QUE PERMITEN BUEN APRENDIZAJE
ninguno	la manera de explicar y como desarrolla sus clases es adecuada
ninguno	buen profesor
ninguno	ninguna sugerencia
ninguno	cambiar la forma de evaluacion
ninguno	No me hace clases
ninguno	ninguno
ninguno	no saque las cosas de la tablet  es aburrido
ninguno	Sin comentarios
ninguno	sin sugerencias
ninguno	Excelente profesora
ninguno	la forma de enseñar es buena, pero en la forma de evaluar debería mejorar.
ninguno	excelente profesor
ninguno	Más ejercicios en clases
ninguno	Se da el tiempo de explicar de la mejor forma la materia, tal vez podría ser un poco mas dinámica la asignatura pero esta en bien general.
ninguno	Buena profesora, explica los contenidos de buena forma
ninguno	enseñanza adecuada y fácil de comprender, faltan mas horas para desarrollar bien los prácticos
ninguno	No puedo entregar ninguna
ninguno	Buen profesor
ninguno	Profesora dedicada
ninguno	nada que decir
ninguno	Buen profesor, aunque le hace falta ser mas creativo al momento de realizar sus clases para que los alumnos no se aburran y al momento de realizar las preguntas de dudas que sea mas amplio en sus respuestas no lo que el espera que entendamos
ninguno	Creo que la realización de sus clases fueron muy efectiva, al igual que los prácticos.
ninguno	buena profesora
ninguno	Preparar y realizar las clases
ninguno	Que no nos dé tanta materia para un mismo certamen
ninguno	Buena organización ddel ramo
ninguno	Muy enredado para explicar. Y debería explicar también para los que no sabemos nada de ilustracion, no todos manejan el tema
ninguno	Buen profe
ninguno	buen profesor
ninguno	Se demore menos en entregar las notas
ninguno	nada que comentar
ninguno	Nada que añadir
ninguno	Explica bien el contenido
ninguno	nunca falto a ninguna clase
ninguno	no tengo clases con el.
ninguno	sin comentarios
ninguno	interesante el electivo
ninguno	profesor técnico y conciso
ninguno	no lo conosco
ninguno	Sólo falta que ejemplifique mas en sus clases ya que la materia es complicada.
ninguno	solo falta un poco mas de caracter
ninguno	Muy buen docente
ninguno	excelente profesor
ninguno	excelentes clases
ninguno	Muy profesional
ninguno	Realizar más inglés gramatical para tener un mejor manejo de vocabulario
ninguno	Muy estricto a la hora de corregir los informes.
ninguno	profesora interesada en la asignatura, motivando a los alumnos
ninguno	es un buen profesor, sabe lo que está enseñando, tiene buena metodología de enseñar
ninguno	Me parece muy pertinente para la asignatura la evaluación mediante el proyecto de investigación, incluso yo aumentaría el porcentaje del poryecto a un 35%
ninguno	sin comentarios
ninguno	No hay comentarios
ninguno	hacer las clases mas dinámicas
ninguno	Bastante conocimientos de los contenidos, expone de excelente manera, podría responder consultas de los alumnos con mejor disposición .
ninguno	Quizá podría pasar la materia de forma más pausada, aunque se entiende que al ser modular debe llevar un ritmo más acelerado.
ninguno	Es una de las mejores docentes que tuve este semestre. Cumple en todo sentido como profesora
ninguno	Sin comentarios
ninguno	Clases dinámicas, están bien enfocadas al desarrollo del tema.
ninguno	Buen profe
ninguno	entrega buen clima en la realizacion de clase
ninguno	no hay sugerencias
ninguno	Dar mas tiempo en los trabajos porque nos llena la semana de muchas cosas y no es la unica asignatura
ninguno	buen académico, sin embargo el trato hacia los estudiantes no es tan bueno
ninguno	Leer dabemos todos que utilice mas metodos de enseñanza..casos . Practicos. Etc
ninguno	nada que sugerir
ninguno	Muy capaz, pero a veces inentendible.
ninguno	Siempre dispuesto a ayudar y responder consultas.
ninguno	siga asi
ninguno	Agregar juegos relacionados con la materia para hacer la clase más dinámica
ninguno	Buen profesor
ninguno	sin sugerencias
ninguno	Buena profesional
ninguno	Mas comunicación con los alumnos
ninguno	Mejor organizacion en las mesas redondas.
ninguno	Nada que sumar.
ninguno	Asignatura inscrita por cupo.
ninguno	Buen profesor
ninguno	Realiza bien las clases
ninguno	Excelente profesora, su método de enseñanza y su orden a la hora de dictar la materia es muy bueno.
ninguno	Ord nada mejor los tiempos, pues se hacen Muchas actividades
ninguno	las clases podrian ser mas dinamica
ninguno	sin comentarios
ninguno	no hay sugerencia
ninguno	Ninguna sugerencia
ninguno	no tuve clases con ella
ninguno	Buena profesora apasionada por lo que enseña
ninguno	ser mas comprensible con los alumnos
ninguno	todo bien
ninguno	No aplica
ninguno	Demuestra alto dominio del tema, las clases son didacticas, explica muy bien la materia. Buena disposicion ante dudas y consultas, ya sea en su oficina como en clases. Bastante exigente a la hora de evaluar.
ninguno	Mas tiempo para los certámenes.
ninguno	Clara par a enseñar, proporciona confianza, podría ser más didáctica en clases para que no sean muy monótonas
ninguno	Docente generalmente muy clara en sus explicaciones
ninguno	Buen profesor buen disposición
ninguno	solo presione tab y abajo para responder rapidamente y escribir ramos
ninguno	buen profesor, siempre dispuesto a que aprendamos
ninguno	Gran dominio de asignatura, pero siempre tiene buenos tratos
ninguno	excelente profesor
ninguno	Me gusta su clase, aunque a veces parece muy monótona, es por que la materia talvez es plana
ninguno	profesor dinamico en su enseñanza
ninguno	nada que decir
ninguno	no hay sugerencias
ninguno	entretenidos los laboratorios
ninguno	Al termino de la practica entrega las calificaciones sin retroalimentar la información
ninguno	Buen profesor
ninguno	Muy buen profesor
ninguno	No fui a su clase :(
ninguno	excelente profesora
ninguno	Muy buen profesional
ninguno	muy bien
ninguno	no conozco a la docente
ninguno	debe ser mas estricto
ninguno	bajar el nivel del ramo utiliza el tromba que es de avanzado igual que utilice larson o zill.
ninguno	Se agradece el interés de la profesora por el avance de cada uno de sus estudiantes.
ninguno	Encuentro que explica bien la materia y tiene mucho dominio del tema, pero al momento de las tareas, test y certámenes hace ejercicios mucho más difíciles y enredados que en la clase.
ninguno	Sin comentarios.
ninguno	mas al enfoque matemático con practico
ninguno	enfatizar mas
ninguno	excelente docente
ninguno	sin comentarios
ninguno	le falta mas motivación
ninguno	Siga igual profe
ninguno	no se realizaron clases
ninguno	Buen Profesor
ninguno	Buen Jefe de carrera
ninguno	Que fue primero, el huevo o la gallina?
ninguno	el contenido de la asignatura deberia estar mas enfocado a lo que realizaremos en el campo laboral y en como enseñar lo aprendido
ninguno	Se sugiere no pasar la materia de forma tan acelerada
ninguno	Buen profesor
ninguno	es muy bueno explicando en cada clases
ninguno	Hablar más lento
ninguno	Buenas clases
ninguno	utilizar formas mas didácticas para realizar la clases, hablar mas alto
ninguno	buen profesor
ninguno	buena profesora
ninguno	Domina los contenidos. El aprendizaje no se logra hablando la hora (cada sagundo) completa de clases.
ninguno	no me hizo clases
ninguno	Profesor responsable
ninguno	Buen profesor, buen manejo de contenidos, en ocasiones poca claridad en la entrega, pero se entiende que es por la dificultad de la asignatura.
ninguno	grf lo mejor
ninguno	buen profesor
ninguno	Buen profesor
ninguno	entragar las notas a tiempo
ninguno	ampliar plazo de entregas
ninguno	sin comentario
ninguno	Excelente docente, con mucho conocimiento y muy humana
ninguno	Falta mejorar la empatía con los alumnos
ninguno	buen profe
ninguno	sin comentarios
ninguno	que no se enoje tan rapido
ninguno	Mejorar la manera en que expone los contenidos correspondientes a la asignatura ya que en muchas ocasionas las clases se hacían aburridas y monotonas.
ninguno	detallar mas las trabajos a evaluar.
ninguno	No hay sugerencias, las clases son excelentes.
ninguno	Realice esta asignatura en terreno.
ninguno	Buena profesora
ninguno	buenas clases
ninguno	hacer las clases mas rapidas
ninguno	Más disertaciones
ninguno	buen profesor
ninguno	Profesor especializado en su asignatura resuelve dudas y ayuda a los alumnos
ninguno	buen profesor pero le falta mas dinamismo en sus clases (son un poco aburridas y monotomas)
ninguno	La asignatura es esencial para lamformación del estudiante
ninguno	No tengo sugerencias
ninguno	Ninguna sugerencia
ninguno	Faltó entregar material biliográfico y fuentes para respaldar la materia presentada y tambien para que el alumno pudiera profundizar los temas expuestos. En lo personal, la falta de esto hizo que no tuviera plena confianza en la veracidad de la materia.
ninguno	buen profesor
ninguno	Organizar mejor los tiempos de la asignatura en general
ninguno	los practicos son los que dejan
ninguno	no me hizo clases
ninguno	seguir con la metodologia
ninguno	docente muy aplicada, me siento conforme con su labor ejercido
ninguno	Quizá debería participar de las actividades junto con los alumnos.
ninguno	Debería facilitarnos las clases o subirlas a la plataforma
ninguno	sin comentarios
ninguno	buen profe
ninguno	Profesora atenta, preocupada, solo deberia mejorar en la puntualidad
ninguno	Tener horario de consultas
ninguno	Excelente docente que genera un espacio para cada estudiante dando a conocer su conocimiento,.
ninguno	mayor organizacion
ninguno	Excelente profesional
ninguno	Excelente clase
ninguno	Nada que agregar, ya que fue una asignatura eventual por el censo
ninguno	Sin sugerencia
ninguno	excelente profesor
ninguno	debería presentar la asignatura, así como a si mismo a la hora de comenzar el semestre, aclarando objetivos y deberes de los estudiantes
ninguno	Sería interesante presentar aplicaciones de los contenidos teóricos a los espacios terapeuticos reales. Algo como exponer relatos de experiencias en donde determinados conocimientos fueron fundamentales.
ninguno	Sin sugerencia
ninguno	Poco tiempo de clases con ella, no existe opinion formada.
ninguno	Buena profesora, con buena disposición para aclarar dudas
ninguno	exelente profesor
ninguno	muy buena profesora,
ninguno	Que utilice más el proyector. Y haga más ejerciocio que materia. Todo lo demás está muy bien.
ninguno	excelente profesora, preocupada por el aprendizaje de todos los estudiantes y ademas propicia orientación adecuada  para el pronto desarrollo laboral.
ninguno	Muy bien
ninguno	buen profesor
ninguno	Tiene bien sentido del humor como para ser profesor de física.
ninguno	Excelente docente.
ninguno	es una persona muy preparada, comprometida
ninguno	no tengo sugerencias
ninguno	no sugerencias
ninguno	muy buen profesor , explica muy bien la materia
ninguno	no tengo
ninguno	Un gran profesor, sabe de lo que habla su metodología de enseñanza es certera.
ninguno	no la conozco
ninguno	dar espacios de recreo (5-10 min) en la clase mas larga
ninguno	le falta ser mas pedagógica
ninguno	Profesora
ninguno	No le interesa enseñar
ninguno	buen profe.
ninguno	tiene mucho conocimiento, pero al enseñar se complica mucho.
ninguno	Demasiada demora en la entrega de notas, sobretodo las últimas que son las más importantes.
ninguno	No era mi profesora
ninguno	Podrían ser un poco más interesantes las clases
ninguno	muy interactivas sus clases
ninguno	buen docente
ninguno	No hay comentarios
ninguno	Buen profesor, con la paciencia para explicar las veces que sea necesario la materia que pasa
ninguno	Clases muy completas, coherentes y creadoras de opinión crítica
ninguno	Buen profesor, buenas formas de enseñar, nada que decir.
ninguno	Sin comentarios
ninguno	profesor comprometido con enseñar a pesar de las dificultades de los alumnos y el entorno del diseño
ninguno	Excelente docente, buen guia.
ninguno	Fue una clase nomás, nada que decir.
ninguno	no tenia clases con este profesor
ninguno	Excelente profesor
ninguno	muy expresiva
ninguno	nada que decir
ninguno	Me gustaron sus clases
ninguno	no era mi profe
ninguno	las clases fueron muy pocas como para dar una opinión concreta sobre como enseña el docente
ninguno	Demuestra paciencia,motivación,disponibilidad y firmeza.
ninguno	no se
ninguno	No hay sugerencias
ninguno	buen profesor
ninguno	La asignatura me pareció muy interesante e importante, ya que nos prepara para estar preparados cuando nos toque interactuar con niños con capacidades diferentes.
ninguno	muy buen profesor que siempre trata de ayudar con cualquier duda o inquietud que se tenga en la asignatura
ninguno	Todo buen
ninguno	correcto profesor
ninguno	Mas tareas
ninguno	Buena profesora
ninguno	Exclente docente. Preocupada de motivarnos como estudiantes y promueve a una mentalidad critica y objetiva.
ninguno	Si bien las clases, son en la mayoria de participación de los alumnos, y de cooaprendizaje entre los mismos, falta que la docente realice mas clases teoricas, ya que no todos los alumnos manejan el idioma ingles al mismo nivel.
ninguno	Excelente profesor, creaba un ambiente grato y tenia toda la disposición ante cualquier duda
ninguno	Profesora muy comprometida con la asignatura.
ninguno	La docente tiene buena disponibilidad para resolver dudas
ninguno	sin comentarios y sugerencias
ninguno	el profesor realiza la clase, pero no asegura el entendimiento de la materia al cien porciento
ninguno	encuentro muy bueno su modo de enseñanza
ninguno	No tengo comentarios
ninguno	No tengo sugerencias ni comentarios
ninguno	Buen profesor con buena disposición en todo aspecto
ninguno	buen profesor
ninguno	Entregar notas con mayor antelación
ninguno	Demuestra dominio en el el tema de su asignatura, sin embargo no logra satisfacer mis necesidades respecto a la asignatura
ninguno	sin sugerencias
ninguno	entrega un buen material de apoyo
ninguno	buen profesor, domina su tema
ninguno	demasiada exigencia en el momento de la evaluacion
ninguno	Mejores ppt
ninguno	Excelente profesor, demuestra que sabe el contenido.
ninguno	Mostrar mayor autoridad en la sala de clases
ninguno	Suele no tener mucho tiempo para atención alumnos
ninguno	ninguna sugerencia
ninguno	Buen profesor, motiva a los estudiantes y genera un ambiente de confianza. Sin embargo la entrega de calificaciones es tardía.
ninguno	No hay sugerencias
ninguno	muy buenas sus clases y entretenidas
ninguno	esperamos que haga ingles IV el próximo semestre, ya que por lo que dicen mis otros compañeros respecto a la otro profesora que dicta la asignatura, no aprendieron nada durante todo el semestre, solo se dedicaban a realizar las nubes de la plataforma
ninguno	Muy llevado a sus ideas
ninguno	Buena técnica de aprendizaje
ninguno	Muy buen profesor, él debió ser el jefe de asignatura
ninguno	no hay comentarios
ninguno	Le falta manejar más los contenidos y motivar a sus alumnos
ninguno	No hay sugerencias
ninguno	más entendimiento
ninguno	Ser mas claro y organizado en la clase
ninguno	Muy buen profesora
ninguno	la primera metodologia que uso en el curso era la mejor
ninguno	Nada que sugerir, las clases son completas y bien explicadas.
ninguno	No aplica
ninguno	mejorar tono de voz
ninguno	necsita mayor libertad para impartir contenidos
ninguno	Sin comentarios
ninguno	Tiene gran conocimiento de lo que enseña
ninguno	no me hiso clases
ninguno	Excelente profesor y gran conocedor de la asignatura que imparte.
ninguno	No es mi profesor
ninguno	Bibliografía complementaria
ninguno	Con 1 o 30 alumnos se debe realizar clases igual.
ninguno	Siga asi
ninguno	No hay sugerencias
ninguno	Clases participativas y didácticas
ninguno	Los jitts no sirven
ninguno	nada que decir
ninguno	Falta interacción en sus clases
ninguno	Falta que sus clases sean mas dinámicas
ninguno	La profesora es muy puntual, atenta, cercana, responsable, respetuosa y tiene mucho dominio sobre la materia.
ninguno	sin comentarios
ninguno	Todo bien
ninguno	Todo bien
ninguno	un poco serio.
ninguno	exelente profesor sigua asi
ninguno	Exelente profesora de orientacion
ninguno	Comenzar las clases puntualmente.
ninguno	excelente profesor
ninguno	buen profesor
ninguno	escuche opiniones sobre su ramo.
ninguno	Sin comentarios
ninguno	Profesor dinámico
ninguno	buena profesora
ninguno	espero que este segundo semestre sea igual como lo fue en el primero
ninguno	Muy bueno
ninguno	Buen profesor, quizá si aplicara otros instrumentos de aprendizaje los alumnos tendrían mas interés en participar.
ninguno	Buen profesor
ninguno	Falta dominio de tema
ninguno	Profesor muy metódico
ninguno	nada que decir
ninguno	Sin Comentarios
ninguno	Profesora que se destaca por su buena voluntad y disposición al momento de responder dudas dentro o fuera del horario de clases. Además muy preocupada por que todos aprendamos.
ninguno	supo sobrellevar al grupo y beneficiarle
