Artista,Cancion,Lyrics,Etiqueta,Expresion
badbunny,TE MUDASTE,"

Pasa el tiempo (Pasa el tiempo)
Y no te veo (Y no te veo)
Dime dónde estás
Dime dónde estás
Que extraño el bellaqueo (Bellaqueo)
Las noches de perreo (Noches de perreo)
Dime dónde estás (Dime dónde estás)
Dime dónde estás

Que ando mirando la foto de cuando chingamos
Bonitos recuerdos de cuando nos escapamos
Nos comimos en el carro, al cuarto ni llegamos
Eh, desde que te desnudaste
A mi mente te mudaste

Estoy puesto pa' repetir
Lo de tú y yo en el balcón
Del hotel con un blunt
No te encuentro en ninguna aplicación
Dime si fue que volviste con aquel cabrón
Porque a mí no me molesta, ser tu chillo
Tú no eres monja, ni yo monaguillo
Me tiene loco ese culo ta bien pillo
Si se abre un OnlyFans, la baby se hace millo

Y ella es loca
Con que le haga cosas con mi boca
Hace tiempo no la veo y ya toca

",0,
cafetacuba,53100,"

Cuando miro mi vida para atras
me descubro viviendo en espiral
no te extrañe, si digo que crecí
en circuitos nunca me perdí

Sube al auto, me lo prestaron ya
tomate algo, quien tiene de fumar?
Por la cinta del disco que grabé
ese solo, es lo mejor que escuche.

Buscando una fiesta
dando vueltas sale el sol
No se por que depronto
lloro sin explicación

El circuitos es dando vueltas, yo te busque
El circuitos es dando vueltas, yo te encontré
El circuitos es dando vueltas, yo te besé
El circuitos te extraño hoy como ayer
uh oh oh uh oh oh
",0,
monlaferte,Que S,"

Que Sí
Que Sí son los mismos
Que Sí una semana atrás
Prometieron conocerse

Que Sí
Que Sí son ellos
Los que querían ir a una montaña
Y perderse...

Sí
Son esos que van ahí
Caminando y cantando
A alguno que otro árbol del bosque

Sí
Son esos que van ahí
Esos que hacen locuras
Bajo la lluvia en la noche

Oh Sí
Oiga son esos dos
Que esa noche se encerraron
A entregarse su amor

Esos dos
Se derritieron
Frente a una fogata
Todo, todo se dijeron

Oh Sí
Ella se preguntaba
Pero ya sabe
Que el está loco y que

Le ama
",0,
antonioaguilar,El Hijo Desobediente,"

Un domingo estando errando
Se encontraron dos mancebos
Echando mano a sus fierros
Como queriendo pelear

Cuando se estaban peleando
Pues llego su padre de uno

Hijo de mi corazon
Ya no pelies con ninguno

Quitese de aqui mi padre
Que estoy mas bravo
Que un leon no valla
A sacar la espada
Y le atraviese el corazon

Hijo de mi corazon
Por lo que acabas
De hablar antes
De que salga el sol
La vida le han de quitar

Lo que le encargo a mi padre
Que no me entierre en sagrado
Que me entierre en tierra bruta
En donde me trille el ganado
Con una mano de fuera
Y un papel sobre dorado
Con un letrero que diga
Felipe fue desgraciado

Bajaron al toro prieto
Que nunca lo habian bajado
Pero ahora si ya bajo
Revuelto con el ganado

De tres caballos que tengo
Ahi se los dejo a los pobres
Para que si quiera digan
Felipe dios te perdone
",0,
camila,Perderte De Nuevo,"

Ya había desilusión
Dolor y resignación
El tiempo supo esperar
Y así la deje de amar

No había más que decir
Había llegado el fin
Hacia dos años ya
Que no me la encontraba

Estaba aprendiendo como vivir
Ya de ti me olvidaba cuando te vi
Con la mirada desesperada

Y fue tan fuerte volver a verte
Sufrí tanto tiempo por ti
Basto mirarte, recuperarte 
Y saber que te irías sin mi
 
Y fue tan fuerte volver a quererte
Volver a creer en los dos
Basto mirarte 
Volver a amarte
Para perderte de nuevo amor.

Sentí tanta confusión 
Al verte tan fría amor
Así fue que comprendí
Que tú no eras para mi
",0,
alejandrosanz,T No Tienes La Culpa,"

Sigo pensando en ti como en las olas del mar 
Que se envuelven en sí mismas y se olvidan de nadar 
Sigo esperando el día para verte despertar 
Tú me das la luz 

Quiero mirar tus ojos 
Que me saben perdonar 
Y mi alma se hace añicos solo oírte respirar 
Tú le das sentido a todo incluso a esta oscuridad 
Tú eres luz 

Y tú no tienes la culpa 
De las cosas que duelen 
Tu me haces bello el retorno 
Y das sentido a lo que viene 
Tú no tienes culpa 
Ni yo.

Me has entregado versos que ni el cielo podrá
Me has llamado con la fuerza de la voz del huracán 
Tú me has abrazado cuando todo andaba mal 
Tú me diste luz 
Tú me diste calma y me la enseñaste a usar 
Tú trajiste lunas nuevas, nuevecitas a este mar 
Yo prendí en tu pelo un alfiler de libertad 
Porque eres tú 

Tú no tienes la culpa 
De las cosas que no valen 
Tú me haces bello el retorno 
Y eres más bella que nadie 
Tú no tienes la culpa 
Si te pierdes el baile 
Tú me haces bello el desastre 
Si quisieras perdonarme 
Yo no tengo razones 
Pero me da coraje 
No quiero que te roce 
Ni un solo fleco de este aire 
Tú no tienes la razón, ni esta canción, 
Ni yo
Ni yo, ni yo
Tú no tienes la culpa
Y eres bella, bella

",0,
sodastereo,Paseando Por Roma,"

Ahora es hora de colgar
Estoy perdido en la línea
Son las doce y te llamé
Desespero
Pero es mejor decir adiós
e intentar Mañana.

Ahora es hora de volver
Esta noche soy un simulcop
Todo el tiempo me encontré
dando vueltas
Es extraña esta ciudad
o yo estoy fuera de escala.

Ahora es hora y no fue ayer
mis amigos
He cambiado, pero aún mi corazón
permanece intacto, intacto, tan intacto como ayer
Nada más para decir sólo:

¡Hasta Mañana!
",0,
anagabriel,Mrales Escchales,"

Mírales, Escúchales 
Tu sabes como han sufrido 
Son seres que no han querido nacer 

Mírales, Escúchales 
Yo pienso que tu si puedes 
cambiarles todo ese ruido por pan 

Nosotros también luchemos por darles la libertad 
No es justo que estén sufriendo por culpa de los demás 
Si no les tendemos la mano quien sabe lo que tendrán 

Mírales, Escúchales 
Su llanto tienen de abrigo 

El hambre es su castigo, oh Dios 

Mírales, Escúchales 
Y dales ese derecho 
de estar en un mundo lleno de paz 
",0,
alejandrosanz,Este Pobre Mortal,"

Aun no puedo creerlo
que haces aquí, no te esperaba
pero por favor no te quedes en la puerta pasa
da una vuelta que te mire, no has cambiado estas igual
a pesar de que va a ser un día que te fuiste.

Dime donde has estado, para haberte acordado
De que existe este pobre mortal, que no para de pensar,
que sin ti mi vida nada será igual

Que mal llevo tu ausencia, 
me cuesta tanto reconocer mi torpeza
y admitir al fin que es una pirueta del destino tu presencia
y me hace tan feliz que de nuevo estás aquí
sácame de mi desastre dime que te quedas
ya lo sé no digas nada con mirarte me doy cuenta 
que has venido a llevarte tu maleta.

Por un momento había pensado, que te habías acordado
De que existe este pobre mortal, que no para de pensar,
que sin ti mi vida nada será igual
",0,
alejandrosanz,ElMundoFuera Improvisacion,"

Tu y yo en mi habitación y el mundo fuera
Puede que parezca una noche más
Pero yo sé que así esparzo amor
Y mañana cuando salga el sol
Nos querremos aún más
Y al fin te podré abrazar
Como lo hacíamos antes
Yo me siento solo
Por solo un instante
Pero, sé que cuando pase todo esto
Tú y yo volveremos a ser como éramos antes
Y cuando ya esté seguro que no pueda herir a nadie
Entonces mis pasos me llevarán fuera de este caso
Me acercaran hasta donde tú estés
Y te abrazaré como nunca te abracé 
Y si alguien quiere que me diga si espera
Y guardame los besos que me debes
Y abrazos que tu tengas ponle nieve
Para que cuando nos veamos amor
Nadie se lo espere y tú y yo
Nos besemos con la fuerza del corazón
Tú y yo en mi habitación 
Y el mundo fuera
",0,
alejandrosanz,Aquello Que Me Diste,"

Inmensas tempestades, tu mano y la mía
Tienes algo, no sé qué es
Hay tanto de melódico en tu fantasía
Y un toque de misterio, mi límite

Conservo algún recuerdo que no debería
Lo sé, ¿qué puedo hacer?
A todos nos ocurre la monotonía
Nos gana la batalla alguna vez
Alguna vez, alguna vez, alguna vez.

Por eso, vida mía, por el día a día
Por enseñarme a ver el cielo más azul 
Por ser mi compañera y darme tu energía
No cabe en una vida mi gratitud 
Por aguantar mis malos ratos y manías
Por conservar secretos en ningún baul
Quiero ser por una vez, capaz de ganar y de perder

Perdona si me ves perder la compostura
En serio te agradezco que hayas sido mía
Si ves que mi canción acaso no resulta
Avísame y recojo la melancolía, melancolía

Te dejaré una ilusión
Envuelta en una promesa de eterna pasión 
Una esperanza pintada en un mar de cartón
Un mundo nuevo que sigue donde un día lo pusiste
Tú eres esa mujer 
Por quien me siento ese hombre capaz de querer
Viviendo cada segundo la primera vez
Sabiendo que me quisiste y todo aquello que me diste

Conserva mi recuerdo de piratería
Derrama los secretos, abre aquel baúl
Sigamos siendo complices en compañía
De aquello que me diste bajo el cielo azul
Por aguantar mis malos ratos y manías
Por conservar secretos que me guardas tú
Quiero ser por una vez, capaz de ganar y de perder

Perdón si alguna vez guardé la compostura
No sabes lo que ha sido que hayas sido mía
Comprendo que agotaste toda tu dulzura
Pero no me pidas, niña, la melancolía, melancolía
",1,"Perdona si me ves perder la compostura
En serio te agradezco que hayas sido mía
Si ves que mi canción acaso no resulta
Avísame y recojo la melancolía, melancolía

"
badbunny,Como Antes,"

Yeh-yeh-yeh-yeh, ey

Ayer me acordé de la primera vez, ey
Que te hice reir, de cuando te busqué
Que buenos tiempos aquellos, ey
Recuerdos muy bellos, ey
Cuando te montaste y cambiaste la estación
Nada de reggaetón, ey
Ponme otra canción
Baby, lo que tú digas, ey
To' lo que tú pidas
Yo por ti doy la vida
Soy tuyo de por vida, ey
Yo te complacía
Tú me complacía'
En el cuarto prendiendo
Después que te lo hacía
¿Dónde? ¿Dónde quedaron esos días?
¿Por qué? ¿Por qué?

Ya nada es como antes
Nada es como antes

Eh, ey
Ya lo traté, ya lo traté, eh
Borré el Netflix
Fui a Blockbuster y una movie alquilé
Te habla por el Messenger y por MySpace
Y así son a las cuatro, y pa'l cuatro, a las seis, ey
Saqué la' fotos del cajón, y mis tennis no se ven
Estoy pisando el mahón
Pasé la Gold en el Game Boy, ey-ey
Pero nada cambia
Sigue siendo hoy
Llené el álbum de estampitas
Te escribí una cartita
Me puse una curita, ey-ey
Las peleas de boxeo
To' los party's de perreo
Amigos que no veo, ey-ey
Me puse a jugar Tazo
Ya no te vo'a hacer caso
Tus beso' y tus abrazo', yeh-yeh
El pasado no vira
La forma en que me miras
Las canciones de Shakira

(Ayer me acordé de la primera vez, ey
Que te hice reir, de cuando te busqué, ey
Ayer me acordé
¿Por qué? ¿Por qué ya nada es como antes?
Nada es como antes
Ya nada es como antes
Nada es como antes)
",0,
anuelaa,Armao 100pre Andamos,"

Culonas me llegaron 100 libras de Arizona
Nalgonas yo soy un rey mi Glock mi corona
Soldados son leales ellos nunca me abandonan
Y se mueren los cabrones que mi nombre mencionan
Le llenamo e' boquete la Tacoma
Y si no se muere ese cabrón va a quedarse en coma
Bebé mamando tú tienes un diploma
Y los vendí en 35 como Durant en Oklahoma
Enpercoseao' la mente se me empichona
Y les pongo en la cara la cuarentona
Se ríe burlona, ella es blanquita como Madonna
Y los kilos los movemos por el Canal de La Mona
(Real Hasta La Muerte)

Todo el mundo sabe quienes somos
Tengo una puta en todos lados que vamos
Pilas de botellas y mucho plomo
Armao' siempre andamos

27, me fugo o me pico el grillete

Intocable con mi 47
Me compré una 34 y le puse un chipete
Todas mis pistolas y mis rifles son fuletes
Tengo 4 putas en New York y 100 putas en Puerto Rico
Yo vo'a hacer 3.5 vendiendo perico
Bebecita te vo'a hacer completa
El abdomen las nalgas y las tetas
Rebota esas nalgas por un Rhino me compré un palestino
Desde Torre hasta Virgilio filas de asesinos
Te esperamos fuera de los pinos
Y te matamos como en Scarface matan a Al Pachino

Y si quieren guerra pues vamos a matarnos
Baby yo nunca tuve miedo a morir
Tenemos 3 rifles 'tamos esperando
Que salgan de la disco y se van a morir
(Real Hasta La Muerte oiste cabrón?)

",1,"Culonas me llegaron 100 libras de Arizona
Nalgonas yo soy un rey mi Glock mi corona

Tengo una puta en todos lados que vamos

Bebecita te vo'a hacer completa
El abdomen las nalgas y las tetas
Rebota esas nalgas por un Rhino me compré un palestino

"
