sorpresa	Capaz me compré otro celu che            pero cuál      
alegría	Feliz día mundial de la salud a todos  
tristeza	Después vuelven las 5 y se agarran a las piñas 
alegría	Ventajas del COVID: no tener que aguantar a determinados individuos de tu familia o familia política en las comidascenas de estas fiestas              Qué veladas más tranquilas vamos a tener 
ira	Sí estoy vacunada, pero no me deja poner mis datos en la f app para el certificado        
alegría	Dando las gracias por no haber perdido el gusto y poder saborear el chocolate   
tristeza	Seguiré durmiendo pero tristica porque no tengo a mi chamita aquí al laito  
desagrado	Re feo ser siempre la que tiene la iniciativa    hasta cuando ori
sorpresa	Este año me puso tanto a prueba .. q lo único que puedo es agradecer .. y ayudar poco o mucho a otros a hecho q en definitiva mi corazón se llene de alegría     ️
desagrado	Alam mi papá me despertó para abrirle y llegó como kotex nocturna, ahh pero no fuera yo pq permiso hasta las 12pm 
no sabe	Ya es oficial el uso de HbA1c(*) en Chile como criterio diagnóstico de DM2     (*) por cromatografía liquida de alta resolución (HPLC) o inmunoensayo
alegría	Con sueño pero feliz   
desagrado	Mi hermano se fue hace 3 días más o menos con su chica y ni se acuerda de la familia   
enojo	Tengo un mal humor hoyyy     
no sabe	pani nam zyczyla feliz navidad y próspero año nuevo 
anticipación	Es mucho tres horas?      
desagrado	8 de la mañana y ya hace 25 grados, cómo les puede gustar esto!? Es algo que no entiendo   
sorpresa	$Luna.    
alegría	¡ME HA TOCADO! ¡ME HA TOCADO!     La suerte de tener una increíble comunidad  
ira	Tiene narices que una tarjeta de sonido Sound Blaster Live!, que iba estupenda cuando en la torre retro tenía el Pentium II, ha dado cantidad de problemas al actualizarle la placa base y la CPU a las del Pentium 4   
alegría	El segundo premio ha caído en mi municipio   
tristeza	Que cansancio que tengoooooooo quiero dormir 18272728 horas mas   
desagrado	Soñé que estaba en un campo gigante donde me trataban de cazar porque no tenía la carta de recomendación de la familia dueña del lugar, qué vaina, me sentí en una mezcla como de Black Mirror y La Purga.    Me desperté antes de que se dieran cuenta que estaba escapando.
enojo	En serio, mi paciencia está por caducar. La gente me agota   
no sabe	O el cargador?   
sorpresa	Estaba escuchando un podcast sobre los patrones y   
disgusto	No hay momento que me sienta mas vieja que cuando me sorprendo diciendo o pensando: anda, ya se acabó el año  jajjajajjaj
sorpresa	Para que me enferme así loco         
ira	Estaria necesitando unos tereees!
alegría	   ¡ME HA TOCADO!   ¡ME HA TOCADOOOO!    ¡ME HA TOCADO!    ¡ME HA TOCADOOOO!     Me ha tocado la suerte de nacer murciano.
tristeza	No me toca ni la lotería.   
confianza	Amigos los cuento con 3 dedos nada más    _  _ y me basta
desagrado	Me estoy poniendo mala, la gente se creerá q es el covid, pero esque a una le gusta salir un día de lluvia sin paraguas  
no sabe	Guatemala es un pueblo…   
tristeza	Extraño hablar con ella   
tristeza	Gastroenterocolitis y no poder salir del baño en toda la noche. Hermosa manera de terminar el año lavando bombachas y sentada en el water dijo nadie nunca 
tristeza	La verdad yo si quería todo con vos maje   
alegría	Quiero un maratón de FRIENDS!     ️
no sabe	Se habla incluso de solamente horas para anunciar a Ferran Torres   
tristeza	llevo desde el jueves acostandome a las 3 y levantandome a las 11  al menos ya no me sentiré culpable pq hoy se acaban las clases  
desagrado	Tengo la pollera , pero no tengo el top para el viernes   
alegría	Iré a comprar juguetes. Me lo merezco.   Quiero recuperar los juguetes de mi infancia.   ️  ️  ️
anticipación	Amigos por cierto, el mancito que me estaba metiendo labia ya no me gusta. Creo que si es verdad eso de “no te gusta, solo estás ovulando”     
no sabe	No spoileen la película que salió el finde pasado pero vayan spoileando la que sale el año que viene   
miedo	Soy yo o este año vamos a pasar una Navidad de mierda por culpa del ornitorrinco ese!?  
no sabe	es normal que cuando me despierte siempre despierte temblando   ? pienso
no sabe	On Live: Mi mayor preocupación es que no se podrá conectar con los dispositivos que tengo que son de Apple, pero puedo tomar la foto en el trabajo, o simplemente puedo usar el que tengo para tomar una foto mientras tengo mi nuevo teléfono celular.
no sabe	Cómo cuesta seguir trabajando así con tantas injusticias .... Todos ahora con cuña política      
alegría	cada día me quiero un poco mass
alegría	Necesito un mañanero     para quitarme este frío.
desagrado	Detesto q me acorda   
no sabe	No importa, luego irá a Netflix!! .
alegría	15 lbs en un mes y 7 días    ¡vamos bien!
no sabe	Que pinta después del pique con este calor      
sorpresa	Traigo una canción en mi mente y van dos días que la escucho en la calle, es como si leyeran mi mente   
tristeza	El martes pasado mí psicóloga se tomó vacas hasta el 3 de enero y yo necesito charlar con esa mujerrrrrrr  Tengo que aguantar HASTA ENERO.  No falta mucho pero para mí es un montonnn
tristeza	Volvi, estaba de viaje
alegría	Hace tiempo que no descansaba tanto 
disgusto	dalila mili y sole pasaron navidad juntas     ️  ️  ️
tristeza	Tengo muchisimo sueño pero no puedo dormir,bosteso como una hipopotamo   
desagrado	La sensación de que se te olvida algo y no saber el q...  
desagrado	He evitado que atropellasen a mi madre y en agradecimiento se ha cabreado conmigo por echarle la responsabilidad a ella       
confianza	Está buenísimo el último Capítulo de Hawkeye No sé olviden que hay una escena Post créditos   
tristeza	Acá a que pueda ir al banco ahora   
no sabe	8 de la mañana y yo llamándola a juli, me va a odiar    
no sabe	De verdad la gente pelea por un asiento a las 7am?   
desagrado	Me puse a mirar los recuerdos y que bueno, tierno y cargoso que soy de novio, pero nadie me quiere
disgusto	En el grupo de las gordas se discute si podemos mezclar sandía con vino        Yo digo; vengaaaa
sorpresa	Vine de la psicóloga así   
tristeza	Quieroo lass fotoss de mis 15     
miedo	Esas mujeres que piensan que uno se les acerca solo para cogerlas...  quién les hizo tanto daño?      
no sabe	Las ganas de tomar un Tere 
ira	quiero comprar katsuobushi     q rico está
desagrado	o me dan unos besos y abrazos ahora mismo o me MUERO no es broma......    
desagrado	Te voy hacer ese pionono de roquefort que te gusta tanto    no mi ciela no me gusta ese día tenia hambre y te comía hasta a vos...mi falta de expresión arruina mi salud mental y mi digestión
tristeza	Antes tenía 2 mensajes sin contestar, ahora tengo 20 y entre más se juntan más me da hueva abrirlos y más pena contestarlos.   
desagrado	86148. Ya está el Gordo.   
disgusto	El diita se está poniendo...   
disgusto	Mi flaca me va a matar con el corte de pelo que me voy a tirar pero es necesario ya un cambio total de look       
sorpresa	Si el año pasado nomas estaba cara la bebida, no me quiero imaginar este año        5mil mínimo para pegarte una buena chupa
desagrado	Esta muy cool eso de no sentir rencor por nadie, pero que más oportunidades le vas a estar dando tú a alguien que en reiteradas ocasiones te ha tratado mal y como una opción?. Aaaa ya se, la oportunidad pa' que te vuelva a tratar mal una vez más😉  .
alegría	Aquí ha llegado ya un libro que sale en marzo y no está ni anunciado    ¡En 2022 los deberes hechos!
sorpresa	faith in the lotería del niño  
sorpresa	Los madridistas rabiando porque ayer expulsan a Kounde por agredir a Alba    Alguien me lo puede explicar?
no sabe	Eu quien dijo q no      
desagrado	El próximo que pida mi número lo bloqueó  caso cerrado!
anticipación	tngo dos dias para cagarme de hambre porque este año no pienso salir fea en la foto familiar 
desagrado	Hay gente que se parecen a los pajaritos ... Pero no por lo bonitos ... Sino por que vienen la cagan y se van ....    
anticipación	"Amanecí como que agripado, con un chorro de mocos, los ojos super llorosos y diciendo ""Soy Baduel""... Ya no sé si pueda ser covid h me reporte enfermo o me presento para que no me descuenten      "
no sabe	Hoy juega el Real Madrid a las 21:30 y El Hormiguero a las 21:45 con los Sainz como invitados     
desagrado	❗️ aviso parroquial mi edit de hongjoong esta para infartarse así que hongjoong y yo no nos haremos responsables de ningún daño el día de hoy, gracias por la atención prestada!
no sabe	Pegue changuita dsp de horario  
desagrado	neta que el área de seguridad en el aeropuerto de Monterrey, son unos incompetentes cuando viajas con mascotas     
desagrado	7.48 de la mañana esperando el colectivo para ir a trabajar (que ya es mucho) se acerca mi vecina a hablarme de la vida   no reacciono
desagrado	Quiero mantecol     
alegría	Soy team verano pero estoy disfrutando trabajar con este fresquito   
desagrado	Dos horas y media haciendo fila para que cuando este a 5 personas digan que ya no hay plata  
desagrado	Flaca ya cállate   
desagrado	No me ha tocado la lotería.  Se me han quemado los garbanzos. Y por último me han cortado el agua en la calle.   
ira	Muna ya pesa 543 GRAMOS    
desagrado	cuando voy a dejar de pensar tan meticulosamente todoooo   
sorpresa	Creo que está lloviendo hoy en Sevilla lo que no ha llovido en todo el 2021 ⛈️
no sabe	Yo siempre tengo un sticker para cada situación.   
ira	Pero había un juego en especial q me sacaba de mi zona de confort.  
tristeza	Quel golazo de l'Indonésie       
alegría	Yo quería un viaje para mi sola y terminé conociendo a alguien increíble.   
tristeza	A mi me tienen que explicar qué necesidad hay de sacar aviones un 24 de diciembre que aterrizan a las 00:00   
confianza	On LIVE: Vi el teléfono de mi hermana. ¿Qué es un Galaxy? Es realmente bueno. Es resistente, tiene buena tecnología y la batería es buena.
confianza	Que azada estoy, empezando de 10 el dia  
sorpresa	cuando es el cumpleaños d marta?  
tristeza	Oye si alguien que viva en Sevilla quiere 2 entradas para ver la de spiderman hoy a las 16 que me lo diga que yo no puedo ir porque está inundada la autopista  
no sabe	Ya llegaron los reyes magos, escuché a la vecina decir baja melshort   
alegría	"Mi hermano mayor me dijo "" te amo"" voy a llorar      pegan fuerte estás fechas   ️"
no sabe	Faltas un día al trabajo y se acumulan pendientes como si hubiesen pasado 2 semanas.   
no sabe	analisando  
desagrado	Tengo que dejar de salir todas las mañanas de mi casa sin desayunar   
no sabe	Chavales que Guadalpark ha abierto un parque nuevo en la Cruz Mármol   
desagrado	Mi Toc me ataca... Estoy en el dentista... Mirando los bototos del caballero frente a mi... Y lo unico que quiero ahora es limpiarle los bototos  
no sabe	Tengo que cocinar y no sé qué cocinar, pero tengo ganas de papitas fritas   
tristeza	Estaba cocinando garbanzos ahorita y se me regó la sal    igual me los comí   ️ ahora tengo sed   
no sabe	Hostia el petardazo   
sorpresa	estoy en panamá         
anticipación	Cb desde que he llegado aquí lo menos que he hecho es dormir   
ira	Humedad, calor, bichos, sapos , moscas  
alegría	Que espectáculo las páginas con envío gratis     
sorpresa	Con la Anto somos tan ridículamente iguales que el otro día llegó a mi casa con el mismo traje de baño que tenía yo   
tristeza	Maldita vacuna me tiene toda adolorida 
sorpresa	Como van terminando el año? Yo tranqui, me enteré me enteré mediante un estudio que en algún momento tuve un ACV         
sorpresa	Mi entrenamiento de hoy me dejo sin caminar   
alegría	  ¡ME HA TOCADO!   ¡ME HA TOCADOOOO!     ¡ME HA TOCADO!   ¡ME HA TOCADOOOO!   ¡ME HA TOCADO!   ¡ME HA TOCADOOOO!   Me ha tocado la suerte de haberte conocido.
desagrado	Ajá mucha risa y todo, el video es buenísimo, pero Juan Sebastián el maracucho del video del perro me parece damn cute 
no sabe	Leíto no hizo carta de despedidaagradecimiento???         
alegría	4 días para mi cumpleaños que emoción   
alegría	Me encule de quién no debía y ahora solo quiero estar con ella, aunq sea secreto.   
tristeza	Eh pasado las peores navidades desde hace 3 años       
ira	Final de año literal, se pusieron de acuerdo parece   
sorpresa	Me compre nose cuantas cosas para ponerme para la fiestas y ahora nada me gusta
ira	Qué pedo? Cómo qué Vega a Rayados  
tristeza	O final de Hawkeye   
no sabe	Hace 2 años aprox que no vemos tv cable. Recomiendo  
desagrado	no, no se me olvidó… solo que no te dije nada   
alegría	Chismear con Julia fue lo mejor  
enojo	Detesto la gente irresponsable, para que pedis un turno si siempre cancelas a última hora ¿???   
no sabe	pengen cubit pipi jeje  
alegría	¡FELIZ NAVIDAD Y FELICES FIESTAS! PARA TODOS@ LOS@ COLEGUILLAS DE AQUI! UN    MUY FUERTE.
sorpresa	La segunda escena postcrédito de Spiderman aaaaaaa   
desagrado	nos han parado la peli
confianza	A ver buenas vibras y muchos éxitos vengan a mi  
desagrado	Y bueno, los 35 llegaron con dolor de rodilla.   
desagrado	ese tipo me sonríe la gracia no la entendí   
alegría	Por cierto muchas gracias a todos por las felicitaciones, aunque sea una tonteria a mi me hace feliz que os acordeis de mi aunque sea en Twitter.  Que paseis unas felices fiestas todos    
desagrado	Me dejo en un ruido mi hermana  
no sabe	ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO suspender 2
ira	Estoy tratando de estar más tiempo en el sueño profundo, pero con hoy es el tercer día que duermo 3 hrs 33 min. ¿Me quedo en el 333? O sigo tratando de aumentar?            
desagrado	Donde vas estas fiestas? A new york.. Ostras que bien no? La misma mierda pero en otro horario..   
sorpresa	estaba hasta el pito de fila para hisoparse en el centro   
no sabe	Soñé que Jk tenía Tik tok y que si nombre de usuario era como el de Instaa  
desagrado	Pero bo. Será posible   
desagrado	Llegué media hora antes a unos exámenes médicos, hablemos de puntualidad 
desagrado	Hoy siento que no soporto a nadie... Ya me quiero ir del trabajo y vivir sola   
miedo	y hoy sabadooo    que se hace?
ira	Y el gordo calló a 15 minutos de mi casa en un centro comercial y no compre número ahí este año cuando.lo año siempre, me cago en todo      
sorpresa	Hoy me reporto con un incremento en mis niveles de ganas de dejarlo todo y dedicarme a la bebeción. Será solo diciembre o los vicios adquiridos hacia las sustancias estupefacientes?  Pienso...       
tristeza	Otro dia largo hoy   
alegría	Lo graciosa y lo chulisima que es mi suegra es la mejor   
alegría	Muy linda   
alegría	Me devuelven las perras y yo feliz como si me hubiera tocado medio millón.
tristeza	          omg sueldo hiiiii  ️  *se lo gasta todo en regalos*         
desagrado	Que hago despierta  
tristeza	Feliz miércoles de cosas maravillosas dijo aquella   Q de vdd les pasen cosas lindas!!!  
disgusto	que yo debería haber ido al instituto de 8 a 11 pq es el último día de clases y me acabo de levantar ahora a las 11 vale     
no sabe	Daaaale que es el ante último día laboral bebeeeeeeeeee    
no sabe	esto me pasa por confiar en un francés  
ira	Que sistema de mierda que tienen los banco Lrpm   
disgusto	Me levante muy temprano porque tenia que viajar y no había yerba para el mate  
anticipación	On Live: Estube pensando en ir a Galaxy, estube leyendo los pro y los contra del Galaxy y del iPhone.
confianza	Todo bien que usted lo va a lograr aunque a veces esos bajones de la vida le hagan creer que no,, yo estoy aquí para apoyarle cuando usted necesite, porque yo tengo la seguridad que usted puede con todo.     ️
tristeza	MI VIDA YOUNGRO ESTABA RE ASUSTADA        PUTO NO HAGAS QUE LLORE
no sabe	   Estos distintivos organismos comienzan su vida de forma totalmente simétrica, mejor dicho, con simetría bilateral, donde su lado izquierdo es aproximadamente igual o similar a su lado derecho, como ocurre en la gran mayoría de los peces.
tristeza	Cómo que nadie me hizo ensalada de manzana  
no sabe	Tan dando de a $100 por el booster shot, voy por mi tercera dosis, pero si me ponen la cuarta y quinta no me pongo guapa no  Pa’ ahorrar tiempo y eso ve
desagrado	Soy tan impulsiva, que después de comprar pasajes, señar dpto… me estoy arrepintiéndo
ira	A qué vrga me desperté a las 6:30 de la mañana?   
ira	ahora mismo deberíamos estar en nuestras casas viendo la lotería no en clase   
desagrado	Odio hacer fila en el banco   
miedo	Verga es hoy                 
desagrado	Por un número no me ha tocado el gordo no me lo creo           
tristeza	muy triste porq he roto la tradición de un tatuaje al año instaurada desde q me hice mi primer tatuuu 
no sabe	a mi madre le ha tocado 200€   
alegría	Buenos días amores míos   
no sabe	La historia de hobi geeeeenteee ahhhhhhhhhhh               el edit 
desagrado	luce un día de mierda   
no sabe	Por fin se me vienen dando las buenas locoooo! 
no sabe	screen profilo?  
desagrado	Todos los años estoy a esto, de no hacer los viajes navideños con mi familia porque mi mamá se pone en modo idiota.
desagrado	Usted no es capaz!  Esa es la mejor frase de motivación que he escuchado en mi vida   
anticipación	Si te juntas con … y te llevas con … te arrepentirás   
desagrado	Ellos jamas aguantaron a una mujer liderando y ahora si quieren? Que manga de pelotudos    nadie les compra sus volteretas...
no sabe	Recomiendan ver Esposas Desesperadas?  
sorpresa	Eeehhh el rayo que ha caído en Sevilla, que ha deslumbrado todo y que ha sonado como si se cayera el cielo???????? Madre mía han retumbado los cristales como 15 segundos   
alegría	Status civil: Sin un chele. Pero cero deudas y empleados felices y contentos con su doble. Y esa es la Navidad felíz del jefe. 
desagrado	No estaba en mis planes vacunarme de covid, pero bue.  
tristeza	Estoy tan aburrida que pensé que era domingo y recién estamos a sábado   
sorpresa	16 mins pa llegar   
anticipación	Menos de 10 dias pro ano acabar   
disgusto	Lo malo de tener padres religiosos es que te vendan todas las pajas de la biblia, perdonar al prójimo, la unión familiar, estamos hechos a las semejanzas de dios y pare de contar   
sorpresa	En qué momento pase de recibir regalos a ser yo el mismísimo  PAPA NOEL    
no sabe	mi mamá poniendo el radio en su teléfono si aplica la de hasta que truene la bocina   
desagrado	No hay cosa que odie más, que la impuntualidad loco  
alegría	Estoy en el metro sentado frente a un chaval de 15 o 16 años que está leyendo un libro... ¡En papel! Hay esperanza... 
no sabe	Ayuda como rayos uso ig       
no sabe	Esta lloviendo y el agua moja
alegría	Me he cambiado la fotito de perfil uoooo   
desagrado	Si yo tenía q magrudar, por q razón me acosté tarde?  
no sabe	Tercera dosis anti covid y en camino para la cuarta algo no anda bien.      
desagrado	mi mama debe estar podrida de que le diga algo y le termine diciendo a último momento que no, va a terminar diciéndome que no todo el tiempo   
sorpresa	He ido al Aldi a comprar un roscón de reyes, con la firme intención de NO COMPRAR NINGUNA PLANTA  ¿Cómo creéis que ha acabado la cosa?   
alegría	Mañana en la barra sonarán villancicos tipo:  La isla Monastery  Sigue bailándome  Cositas así   
confianza	El COVID dijo: pero como que volví, no entiendo, si yo nunca me fui   
anticipación	Esperando mi visita  
ira	Jazmin d mierda cada vez que allyson duerme con nosotras se va con ella ta bn así son que vaya allyson a comprarte los kilos de cat chow que pedis x mes  
alegría	Uno pensaría que Cristiano Ronaldo tiene TV en su cuarto   
alegría	Buenos días!! gracias Dios por otro día junto a lo más que amo mi hijo, gracias por bendecirnos siempre no puedo esperar para ver que nos traerá este 2022 espero que sean muchas más bendiciones ya estoy lista.  
desagrado	pienso en el baile y siempre la misma pregunta, que mierda me pongo!?  
miedo	Tembló la tierra, y fue bien fuerte   
disgusto	Ya me cansé de jugar el mismo jueguito de hace aprox. 12 hs   
confianza	el catalan es 1 idioma mui bonito  existe el verbo trontollar
tristeza	m he peleado con unas d mi clase   
anticipación	Por cierto que el año pasado dije que nunca más iba a jugar al amigo secreto…   
desagrado	Muchos a esta edad ni aun debutan o tienen menos que 10 partidos en 1era. Sergio ya jugó en el club mas grande de su país, salio campeón, metió en un clásico siendo niño, lo compro el club mas poderoso del planeta, fue a Brasil, México. Todo con 23 AÑOS   
desagrado	Parishiiii emplaza a Boric por los medios.  Pero q se lo diga a la cara    que venga y se lo diga a la cara
disgusto	ala ya no me toca el gordo  
sorpresa	yo hablo demasiado o la gente habla muy poco   
alegría	Feriass   
ira	Re podrida de soñar siempre lo mismo   
tristeza	AHI VOY 2022  ️.!  El viernes 31 de Diciembre a las 23:59 miraré al cielo y diré: “Hasta aki te kise, Hasta aki te Ame, Hasta aki te espere..!  ADIÓS PASADO   
no sabe	Yo;     Me acuerdo que esta la CA awards  Yo :   ️
no sabe	Shockeado con las expensas de algunos lugares, 45mil     
alegría	El entrenamiento de hoy fue mítico     ️
no sabe	Ya se me calentó el hocico   
disgusto	Me levanté temprano para ir al centro porque tenía que comprar UNA sola cosa, hasta que me acordé que e 2212 y está todo explotado 
confianza	pero está bien no voy a demostrar q me afecta     
tristeza	a ver cómo le explico yo a mis sobrinos q este año no hay reyes xq se han olvidado el certificado covid en casa       
desagrado	Saco los pies para sentir fresquito y Olivia me los muerde. Querida te podes calmar?   
tristeza	amets te echo de menos 
no sabe	Sobre que no pude dormir en toda la noche mi vieja me despertó a las 08:00   
alegría	Hoy a ver Spiderman no hay weys en casa  
desagrado	¡NO ME LO CREO! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA DESGRACIA DE SER DEL ATHLETIC CLUB!   ¡COMPARTE EN TU MURO SI A TI TAMBIEN! 
sorpresa	Bueno no se ni como aprobé portugués pero el finde se festeja  
miedo	Me da miedo que un dia de estos mi cuyito se infarte de tanta pirotecnia que tiran   
anticipación	Se copa la plaza el 24 y el 31??  
anticipación	Mañana a esta hora estoy en una camilla con un laser apuntando a mi ojo   
no sabe	Madre mia, los truenos   
confianza	gracias uma x felicitarme la navidad me las pasare estudiando  ️ 
tristeza	Me quede dormida porque ya no aguantaba el sueño y me levanto con esta noticia que me tomo por sorpresa, me puse mal , estoy mal                   ️
no sabe	Aichino aprobameee
confianza	"perdón pero soy ""heterosexual"" para mis amigas"
desagrado	Sonó la alarma y que rabia.  ¡Perra maldita, antipatriota!   
no sabe	Feliz día para todos mis lindos y queridos seguidores, q este sea un miércoles de muchas bendiciones alegrías y sobre todo de la presencia de nuestro señor Jesucristo  
tristeza	Ahora me agarró dolor de muela, algo mas?   
alegría	Kheee lindos todos los días de diciembreeee   
